timestamps,open,high,low,close,volume,amount
2025-08-21 00:00:00,0.2216,0.22184,0.22015,0.22175,199837897.0,44176155.10533
2025-08-21 01:00:00,0.22175,0.22367,0.22045,0.22339,242841514.0,53993022.44569
2025-08-21 02:00:00,0.22338,0.22405,0.2194,0.22092,292263319.0,64585932.83149
2025-08-21 03:00:00,0.22092,0.22442,0.22089,0.22194,305334983.0,68049007.12465
2025-08-21 04:00:00,0.22193,0.22364,0.22097,0.22264,203227448.0,45176222.49754
2025-08-21 05:00:00,0.22264,0.2241,0.22183,0.22403,235814974.0,52594535.6073
2025-08-21 06:00:00,0.22402,0.22406,0.22163,0.222,186935894.0,41574350.30766
2025-08-21 07:00:00,0.22199,0.22238,0.21983,0.22133,264659346.0,58480414.96374
2025-08-21 08:00:00,0.22134,0.22171,0.21924,0.21928,237924860.0,52421142.17946
2025-08-21 09:00:00,0.21928,0.2194,0.21787,0.21805,295757994.0,64637410.01875
2025-08-21 10:00:00,0.21806,0.21894,0.21763,0.21832,158402280.0,34588375.41714
2025-08-21 11:00:00,0.21832,0.2191,0.21659,0.21751,218967351.0,47673646.14972
2025-08-21 12:00:00,0.2175,0.21824,0.21545,0.21611,324560375.0,70414248.58999
2025-08-21 13:00:00,0.2161,0.21872,0.2158,0.21712,368007403.0,80020858.25075
2025-08-21 14:00:00,0.21713,0.22062,0.21596,0.21673,575477926.0,125545106.98851
2025-08-21 15:00:00,0.21673,0.21707,0.21437,0.2154,352878651.0,76154678.0935
2025-08-21 16:00:00,0.21539,0.2171,0.21492,0.21548,222347826.0,47984883.12816
2025-08-21 17:00:00,0.21548,0.21674,0.21441,0.21618,170777436.0,36790351.91161
2025-08-21 18:00:00,0.21619,0.21795,0.21555,0.21753,180951187.0,39219103.48814
2025-08-21 19:00:00,0.21753,0.2182,0.21456,0.21508,218436650.0,47206705.52293
2025-08-21 20:00:00,0.21508,0.2168,0.21376,0.21581,206924640.0,44510981.67484
2025-08-21 21:00:00,0.21581,0.21715,0.21445,0.21655,110984969.0,23971551.50579
2025-08-21 22:00:00,0.21656,0.21747,0.21612,0.21674,96203857.0,20860677.27804
2025-08-21 23:00:00,0.21674,0.21678,0.21385,0.21465,150457027.0,32346035.29042
2025-08-22 00:00:00,0.21465,0.21735,0.21458,0.21621,195359347.0,42240229.18541
2025-08-22 01:00:00,0.21622,0.21698,0.21443,0.21651,190893751.0,41220876.04257
2025-08-22 02:00:00,0.2165,0.21908,0.2161,0.21785,203232790.0,44340536.50475
2025-08-22 03:00:00,0.21786,0.21847,0.21503,0.21566,177444151.0,38423868.08771
2025-08-22 04:00:00,0.21566,0.21797,0.21561,0.21692,163058622.0,35372794.11365
2025-08-22 05:00:00,0.21692,0.21848,0.21663,0.21763,131498448.0,28622489.02223
2025-08-22 06:00:00,0.21762,0.21862,0.21508,0.2159,237150018.0,51389027.74828
2025-08-22 07:00:00,0.21591,0.21829,0.21563,0.21785,192219057.0,41814039.84697
2025-08-22 08:00:00,0.21785,0.21899,0.21736,0.21766,143418627.0,31284453.18899
2025-08-22 09:00:00,0.21767,0.21798,0.21635,0.21714,120475731.0,26158584.33341
2025-08-22 10:00:00,0.21714,0.21717,0.21344,0.21407,358728809.0,77094036.36898
2025-08-22 11:00:00,0.21408,0.21415,0.21167,0.21186,323451089.0,68775825.81312
2025-08-22 12:00:00,0.21187,0.21207,0.20812,0.21054,798685815.0,167784906.49975
2025-08-22 13:00:00,0.21054,0.21374,0.20911,0.21193,686377343.0,145207492.3577
2025-08-22 14:00:00,0.21192,0.23078,0.21189,0.22853,3387562820.0,761624423.34008
2025-08-22 15:00:00,0.22854,0.23362,0.2285,0.23008,897403038.0,207833668.33107
2025-08-22 16:00:00,0.23008,0.23724,0.23007,0.23515,956195953.0,224563435.6978
2025-08-22 17:00:00,0.23514,0.23929,0.23511,0.23769,691728682.0,164450421.53
2025-08-22 18:00:00,0.23768,0.23866,0.23615,0.23806,366565960.0,87068717.71969
2025-08-22 19:00:00,0.23806,0.23976,0.23788,0.23872,275655510.0,65839714.6331
2025-08-22 20:00:00,0.23872,0.24026,0.23861,0.23931,223400966.0,53447525.23102
2025-08-22 21:00:00,0.2393,0.24218,0.23892,0.24127,336712671.0,81017667.78281
2025-08-22 22:00:00,0.24127,0.24187,0.2389,0.23939,292920869.0,70363550.87362
2025-08-22 23:00:00,0.23939,0.24173,0.23911,0.2405,223687297.0,53736857.82836
2025-08-23 00:00:00,0.24051,0.24084,0.2376,0.23766,356753509.0,85324524.86088
2025-08-23 01:00:00,0.23767,0.23818,0.23312,0.23518,584039876.0,137482826.41823
2025-08-23 02:00:00,0.23519,0.23566,0.22895,0.23135,727399462.0,168328276.30339
2025-08-23 03:00:00,0.23135,0.23226,0.23027,0.23147,314921160.0,72842451.70989
2025-08-23 04:00:00,0.23146,0.23522,0.23125,0.2352,511469513.0,119322237.29759
2025-08-23 05:00:00,0.23519,0.2382,0.23478,0.2377,368926730.0,87304426.82079
2025-08-23 06:00:00,0.2377,0.23875,0.23642,0.23853,292868766.0,69634662.03399
2025-08-23 07:00:00,0.23853,0.23937,0.2364,0.23719,302078157.0,71783629.19634
2025-08-23 08:00:00,0.23719,0.23974,0.2371,0.23836,322855454.0,77038077.41433
2025-08-23 09:00:00,0.23836,0.23886,0.23688,0.23814,206033990.0,49001438.95903
2025-08-23 10:00:00,0.23813,0.2383,0.23576,0.2361,225111640.0,53259652.25772
2025-08-23 11:00:00,0.23611,0.23733,0.23547,0.23613,239533837.0,56613534.69972
2025-08-23 12:00:00,0.23614,0.23903,0.23503,0.23682,356830079.0,84671708.6221
2025-08-23 13:00:00,0.23683,0.23691,0.23439,0.23522,372733757.0,87821165.51074
2025-08-23 14:00:00,0.23522,0.23699,0.23441,0.23557,307446058.0,72428633.80395
2025-08-23 15:00:00,0.23557,0.23711,0.23475,0.23639,167969913.0,39624665.9407
2025-08-23 16:00:00,0.2364,0.23683,0.23547,0.23635,127778914.0,30159171.36203
2025-08-23 17:00:00,0.23636,0.23754,0.23624,0.23652,130183234.0,30846440.08941
2025-08-23 18:00:00,0.23652,0.23724,0.2363,0.23685,64836058.0,15352914.91306
2025-08-23 19:00:00,0.23685,0.23757,0.23663,0.23733,69823938.0,16554762.59421
2025-08-23 20:00:00,0.23734,0.2375,0.23573,0.2364,86069224.0,20351939.46785
2025-08-23 21:00:00,0.2364,0.23643,0.23389,0.23478,312066132.0,73307259.83567
2025-08-23 22:00:00,0.23477,0.23622,0.23476,0.23598,94447166.0,22230603.73346
2025-08-23 23:00:00,0.23599,0.23676,0.23561,0.23625,90104480.0,21284725.03335
2025-08-24 00:00:00,0.23626,0.23829,0.23619,0.23775,168981615.0,40102001.78334
2025-08-24 01:00:00,0.23775,0.23791,0.23581,0.23706,165038784.0,39107508.21088
2025-08-24 02:00:00,0.23706,0.23785,0.2357,0.23598,163366320.0,38689266.11008
2025-08-24 03:00:00,0.23598,0.23688,0.23489,0.23656,168848604.0,39791601.69966
2025-08-24 04:00:00,0.23657,0.23704,0.23552,0.23628,108817788.0,25717718.48966
2025-08-24 05:00:00,0.23628,0.2364,0.23472,0.23506,100087499.0,23576043.94247
2025-08-24 06:00:00,0.23506,0.23513,0.2319,0.23204,342819471.0,79968945.42421
2025-08-24 07:00:00,0.23203,0.23381,0.23195,0.23215,215987923.0,50293668.97271
2025-08-24 08:00:00,0.23214,0.23316,0.2312,0.23224,184942657.0,42952460.43676
2025-08-24 09:00:00,0.23225,0.23293,0.23132,0.2319,150077815.0,34819845.67655
2025-08-24 10:00:00,0.2319,0.23211,0.22925,0.22983,279897241.0,64466981.59096
2025-08-24 11:00:00,0.22984,0.23039,0.22817,0.22948,287611513.0,65903795.38759
2025-08-24 12:00:00,0.22947,0.23019,0.22911,0.23009,156392487.0,35925077.9628
2025-08-24 13:00:00,0.23009,0.23133,0.22989,0.23005,214234238.0,49405038.02078
2025-08-24 14:00:00,0.23006,0.2321,0.22909,0.23192,224285024.0,51722214.33047
2025-08-24 15:00:00,0.23192,0.23391,0.23065,0.23113,354143353.0,82362196.16911
2025-08-24 16:00:00,0.23114,0.23249,0.23027,0.23202,195387574.0,45213425.06616
2025-08-24 17:00:00,0.23202,0.23672,0.23194,0.23542,403253044.0,94666475.19916
2025-08-24 18:00:00,0.23542,0.24259,0.23485,0.24189,691571379.0,165676091.99456
2025-08-24 19:00:00,0.24188,0.24492,0.22923,0.23407,1972680523.0,466699545.21548
2025-08-24 20:00:00,0.23407,0.23439,0.22854,0.23253,793327950.0,183908500.34233
2025-08-24 21:00:00,0.23254,0.23512,0.23071,0.23318,272813632.0,63568193.37959
2025-08-24 22:00:00,0.23318,0.23345,0.22737,0.23135,462815485.0,106385980.21363
2025-08-24 23:00:00,0.23136,0.23316,0.23106,0.23175,201691934.0,46831106.65458
2025-08-25 00:00:00,0.23174,0.23304,0.22536,0.22742,513964085.0,117398430.14734
2025-08-25 01:00:00,0.22742,0.23107,0.22712,0.22967,350324118.0,80335232.52538
2025-08-25 02:00:00,0.22966,0.23408,0.22954,0.23331,356893689.0,82946741.44736
2025-08-25 03:00:00,0.2333,0.2345,0.23035,0.23083,235160386.0,54679337.77033
2025-08-25 04:00:00,0.23082,0.2313,0.2283,0.22892,241686550.0,55515914.30175
2025-08-25 05:00:00,0.22893,0.22956,0.22653,0.22662,263975762.0,60137691.53335
2025-08-25 06:00:00,0.22661,0.22692,0.22228,0.22271,587479784.0,131948360.34278
2025-08-25 07:00:00,0.22271,0.22406,0.21948,0.22062,535168214.0,118697573.07062
2025-08-25 08:00:00,0.22063,0.22157,0.21902,0.22082,499816798.0,110174111.89813
2025-08-25 09:00:00,0.22081,0.22112,0.21942,0.221,277482810.0,61103445.88301
2025-08-25 10:00:00,0.221,0.221,0.2168,0.21835,545631762.0,119139533.17649
2025-08-25 11:00:00,0.21835,0.21957,0.21758,0.21953,228043117.0,49838549.06012
2025-08-25 12:00:00,0.21953,0.22082,0.21843,0.22077,289115054.0,63478332.58094
2025-08-25 13:00:00,0.22076,0.22076,0.21729,0.21885,520388951.0,114003109.32849
2025-08-25 14:00:00,0.21886,0.22111,0.21823,0.22016,371581064.0,81707859.33748
2025-08-25 15:00:00,0.22017,0.22048,0.21782,0.2184,293360435.0,64320929.70701
2025-08-25 16:00:00,0.21841,0.22035,0.21707,0.21801,291013958.0,63660710.33778
2025-08-25 17:00:00,0.218,0.21917,0.21645,0.21843,256928859.0,55960425.00516
2025-08-25 18:00:00,0.21844,0.21898,0.21709,0.21757,172231109.0,37535426.1304
2025-08-25 19:00:00,0.21759,0.21777,0.21338,0.2137,590469615.0,127204455.00199
2025-08-25 20:00:00,0.21371,0.21454,0.2067,0.207,1376344610.0,289486508.7832
